LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (бу)
-0.97402898,-1.198088021,-1.062719344,0.179710049
-0.97402898,-1.176626999,-1.062719344,0.334343457
-0.97402898,-1.343920519,-1.062719344,0.230239864
-0.97402898,-1.174711495,-1.062719344,0.217765758
-0.97402898,-1.108161063,-1.062719344,0.122822216
-0.97402898,-1.169422639,-1.062719344,-0.202101356
-0.97402898,-0.947002888,-1.029235622,-0.458538878
-0.97402898,-1.174708375,-1.062719344,-0.168413033
-0.97402898,-1.186163554,-1.062719344,-0.207988539
-0.97402898,-1.204575372,-1.062719344,-0.158658105
-0.97402898,-1.047080882,-1.050485118,-0.294209689
-0.97402898,-0.958041377,-1.032595697,-0.260806748
-0.97402898,-0.953712769,-1.031308117,-0.2187934
-0.97402898,-0.538075171,-0.787260652,-0.429066308
-0.97402898,-0.537732241,-0.786988196,-0.634724154
-0.97402898,-0.477402148,-0.737072487,-0.643781042
-0.97402898,-0.152883194,-0.389739883,-0.57654114
-0.97402898,-0.710167323,-0.909906364,-1.297370677
-0.812178576,-0.572848038,-0.814259576,-0.762605587
-0.71391706,-0.510879439,-0.765265071,-0.796110965
-0.575737307,-0.358265739,-0.625801122,-0.839356342
-0.586862345,-0.371922216,-0.639480899,-0.844946087
-0.630900235,-0.421263581,-0.686860153,-0.736703891
-0.431988191,-0.254940069,-0.514837956,-0.727627827
-0.363158311,-0.18672089,-0.432904957,-0.73434587
-0.196208108,-0.097760593,-0.31563264,-0.737518204
-0.020971179,0.032885181,-0.119463471,-0.71053073
0.010713062,-0.004054543,-0.177907161,-0.749024504
-0.25081056,-0.147671956,-0.382938077,-0.731076399
-0.520216425,-0.379736747,-0.647196288,-0.812830115
-0.474341606,-0.319116831,-0.585934975,-0.814621499
-0.304634614,-0.1995702,-0.448850271,-0.869278264
-0.27190654,-0.185109734,-0.430888467,-0.800338451
-0.332031617,-0.255989738,-0.516046917,-0.888113504
-0.493983317,-0.328052521,-0.59538212,-0.780867919
-0.519356784,-0.395856144,-0.662856767,-0.860384377
-0.582805781,-0.410942101,-0.677208102,-0.799096631
-0.059381504,-0.083858096,-0.29616644,-0.942104352
-0.233800889,-0.185503161,-0.431381226,-0.938637938
-0.220556352,-0.17393422,-0.416795481,-1.007126092
-0.376575977,-0.251712536,-0.511110943,-0.982647987
